per_out,det-dist-oper,gamma,cloud_number,avg_len,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
0.1,custom-custom-sum,0.4,10,41.0,0.612,0.598,0.591,0.574,0.559,0.568,0.555,0.543,0.529,0.524,0.064,0.07,0.072,0.065,0.058,0.063,0.064,0.069,0.064,0.06
0.12,custom-custom-sum,0.4,10,49.0,0.635,0.601,0.608,0.592,0.57,0.571,0.565,0.55,0.538,0.538,0.065,0.064,0.07,0.066,0.057,0.066,0.062,0.057,0.061,0.071
0.1,custom-custom-sum,0.4,15,41.0,0.619,0.609,0.607,0.585,0.571,0.58,0.571,0.549,0.546,0.537,0.07,0.077,0.077,0.072,0.062,0.066,0.072,0.071,0.067,0.066
0.12,custom-custom-sum,0.4,15,49.0,0.642,0.613,0.614,0.599,0.585,0.58,0.575,0.56,0.553,0.551,0.076,0.073,0.073,0.07,0.057,0.062,0.068,0.059,0.061,0.069
0.1,custom-custom-sum,0.45,10,41.0,0.609,0.594,0.587,0.571,0.555,0.564,0.553,0.537,0.524,0.521,0.064,0.07,0.073,0.066,0.059,0.062,0.063,0.07,0.065,0.063
0.12,custom-custom-sum,0.45,10,49.0,0.633,0.6,0.607,0.591,0.573,0.573,0.566,0.554,0.54,0.541,0.068,0.066,0.069,0.068,0.057,0.067,0.064,0.056,0.059,0.068
0.1,custom-custom-sum,0.45,15,41.0,0.62,0.608,0.605,0.587,0.571,0.578,0.571,0.548,0.547,0.537,0.07,0.074,0.074,0.071,0.062,0.066,0.069,0.073,0.068,0.069
0.12,custom-custom-sum,0.45,15,49.0,0.642,0.612,0.614,0.598,0.586,0.581,0.575,0.562,0.554,0.55,0.077,0.073,0.074,0.071,0.058,0.061,0.071,0.059,0.059,0.067
0.1,custom-custom-sum,0.5,10,41.0,0.604,0.587,0.585,0.567,0.553,0.562,0.552,0.536,0.526,0.517,0.068,0.073,0.071,0.069,0.06,0.062,0.061,0.069,0.067,0.063
0.12,custom-custom-sum,0.5,10,49.0,0.629,0.602,0.603,0.587,0.57,0.571,0.561,0.552,0.541,0.537,0.065,0.064,0.07,0.066,0.055,0.068,0.065,0.057,0.06,0.067
0.1,custom-custom-sum,0.5,15,41.0,0.62,0.603,0.602,0.584,0.569,0.572,0.57,0.545,0.542,0.535,0.075,0.08,0.076,0.072,0.066,0.067,0.072,0.072,0.068,0.069
0.12,custom-custom-sum,0.5,15,49.0,0.638,0.611,0.617,0.598,0.585,0.583,0.576,0.564,0.554,0.551,0.08,0.073,0.073,0.07,0.058,0.061,0.069,0.06,0.06,0.067
0.1,custom-custom-sum,0.55,10,41.0,0.598,0.587,0.581,0.566,0.55,0.562,0.552,0.535,0.523,0.515,0.072,0.072,0.072,0.069,0.072,0.064,0.063,0.071,0.065,0.066
0.12,custom-custom-sum,0.55,10,49.0,0.629,0.599,0.6,0.584,0.57,0.57,0.56,0.552,0.546,0.536,0.067,0.062,0.068,0.067,0.054,0.065,0.061,0.06,0.059,0.067
0.1,custom-custom-sum,0.55,15,41.0,0.612,0.597,0.595,0.581,0.566,0.567,0.568,0.543,0.536,0.533,0.079,0.081,0.08,0.078,0.068,0.068,0.074,0.074,0.07,0.075
0.12,custom-custom-sum,0.55,15,49.0,0.636,0.61,0.613,0.596,0.584,0.582,0.574,0.562,0.554,0.546,0.079,0.074,0.076,0.069,0.059,0.06,0.07,0.06,0.058,0.07
