per_out,det-dist-oper,gamma,avg_len,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
0.1,svm-custom-sum,0.05,42.8,0.371,0.375,0.355,0.341,0.344,0.34,0.336,0.314,0.328,0.298,0.088,0.084,0.077,0.091,0.084,0.083,0.098,0.07,0.105,0.072
0.12,svm-custom-sum,0.05,50.8,0.406,0.399,0.379,0.352,0.355,0.363,0.354,0.344,0.334,0.315,0.089,0.092,0.077,0.083,0.094,0.086,0.098,0.091,0.088,0.079
0.1,custom-custom-sum,0.05,41.0,0.518,0.498,0.512,0.499,0.486,0.481,0.473,0.463,0.456,0.441,0.103,0.099,0.093,0.096,0.103,0.093,0.102,0.087,0.091,0.09
0.12,custom-custom-sum,0.05,49.0,0.527,0.515,0.527,0.515,0.51,0.498,0.494,0.483,0.474,0.459,0.089,0.093,0.088,0.095,0.1,0.085,0.093,0.068,0.098,0.084
0.1,svm-custom-sum,0.1,42.5,0.454,0.434,0.422,0.413,0.398,0.399,0.391,0.378,0.388,0.352,0.071,0.061,0.089,0.086,0.091,0.089,0.088,0.086,0.102,0.085
0.12,svm-custom-sum,0.1,51.4,0.459,0.439,0.419,0.419,0.412,0.408,0.395,0.388,0.365,0.361,0.062,0.069,0.065,0.071,0.072,0.078,0.079,0.081,0.089,0.067
0.1,custom-custom-sum,0.1,41.0,0.575,0.552,0.56,0.545,0.526,0.523,0.52,0.512,0.493,0.478,0.083,0.085,0.081,0.079,0.075,0.067,0.082,0.072,0.08,0.069
0.12,custom-custom-sum,0.1,49.0,0.586,0.566,0.571,0.557,0.535,0.54,0.532,0.522,0.506,0.505,0.078,0.075,0.075,0.077,0.077,0.071,0.08,0.066,0.076,0.075
0.1,svm-custom-sum,0.15,43.1,0.489,0.46,0.453,0.443,0.436,0.414,0.411,0.407,0.392,0.376,0.073,0.068,0.075,0.077,0.087,0.079,0.083,0.086,0.084,0.064
0.12,svm-custom-sum,0.15,51.3,0.499,0.489,0.465,0.457,0.445,0.441,0.434,0.416,0.408,0.389,0.066,0.071,0.069,0.062,0.07,0.079,0.072,0.078,0.076,0.069
0.1,custom-custom-sum,0.15,41.0,0.586,0.574,0.575,0.551,0.535,0.543,0.534,0.523,0.509,0.495,0.072,0.082,0.076,0.078,0.073,0.063,0.07,0.065,0.075,0.064
0.12,custom-custom-sum,0.15,49.0,0.608,0.586,0.597,0.578,0.554,0.552,0.548,0.534,0.526,0.518,0.073,0.072,0.079,0.069,0.071,0.073,0.071,0.06,0.069,0.074
0.1,svm-custom-sum,0.2,43.1,0.504,0.48,0.469,0.458,0.443,0.437,0.422,0.411,0.392,0.392,0.062,0.064,0.056,0.062,0.072,0.073,0.074,0.076,0.07,0.074
0.12,svm-custom-sum,0.2,50.8,0.516,0.513,0.491,0.471,0.464,0.45,0.439,0.433,0.423,0.403,0.049,0.056,0.065,0.054,0.06,0.064,0.068,0.067,0.076,0.068
0.1,custom-custom-sum,0.2,41.0,0.596,0.593,0.587,0.567,0.544,0.553,0.545,0.537,0.517,0.511,0.06,0.072,0.075,0.067,0.066,0.063,0.069,0.061,0.069,0.066
0.12,custom-custom-sum,0.2,49.0,0.623,0.598,0.608,0.586,0.562,0.563,0.555,0.541,0.531,0.522,0.073,0.068,0.072,0.064,0.065,0.066,0.067,0.057,0.068,0.069
0.1,svm-custom-sum,0.25,42.9,0.508,0.494,0.487,0.471,0.458,0.448,0.441,0.417,0.404,0.377,0.062,0.054,0.057,0.056,0.072,0.064,0.083,0.081,0.063,0.065
0.12,svm-custom-sum,0.25,50.8,0.535,0.523,0.505,0.492,0.473,0.475,0.458,0.452,0.438,0.415,0.06,0.061,0.062,0.061,0.069,0.065,0.065,0.071,0.078,0.064
0.1,custom-custom-sum,0.25,41.0,0.601,0.599,0.591,0.57,0.551,0.557,0.545,0.542,0.521,0.511,0.065,0.068,0.073,0.068,0.06,0.057,0.068,0.062,0.068,0.066
0.12,custom-custom-sum,0.25,49.0,0.633,0.607,0.614,0.594,0.567,0.565,0.562,0.545,0.534,0.523,0.068,0.063,0.065,0.062,0.06,0.064,0.067,0.058,0.067,0.069
0.1,svm-custom-sum,0.3,43.3,0.528,0.512,0.498,0.482,0.465,0.464,0.444,0.43,0.428,0.409,0.064,0.06,0.056,0.052,0.064,0.075,0.065,0.078,0.071,0.06
0.12,svm-custom-sum,0.3,50.7,0.547,0.53,0.506,0.496,0.474,0.479,0.458,0.45,0.433,0.418,0.059,0.055,0.072,0.05,0.07,0.071,0.068,0.068,0.071,0.072
0.1,custom-custom-sum,0.3,41.0,0.609,0.601,0.597,0.572,0.556,0.56,0.547,0.543,0.522,0.515,0.063,0.068,0.072,0.068,0.062,0.059,0.071,0.064,0.069,0.07
0.12,custom-custom-sum,0.3,49.0,0.638,0.611,0.617,0.597,0.571,0.568,0.565,0.545,0.537,0.524,0.066,0.063,0.063,0.062,0.056,0.064,0.069,0.058,0.068,0.069
0.1,svm-custom-sum,0.35,42.3,0.526,0.52,0.499,0.482,0.478,0.456,0.449,0.433,0.42,0.409,0.066,0.063,0.061,0.057,0.073,0.075,0.072,0.076,0.081,0.065
0.12,svm-custom-sum,0.35,50.5,0.563,0.547,0.512,0.511,0.495,0.493,0.469,0.454,0.445,0.434,0.075,0.059,0.057,0.048,0.07,0.063,0.067,0.066,0.071,0.059
0.1,custom-custom-sum,0.35,41.0,0.61,0.602,0.598,0.575,0.556,0.559,0.55,0.545,0.521,0.515,0.06,0.068,0.073,0.067,0.064,0.06,0.07,0.064,0.071,0.069
0.12,custom-custom-sum,0.35,49.0,0.636,0.609,0.617,0.594,0.569,0.569,0.566,0.546,0.537,0.525,0.068,0.063,0.062,0.06,0.055,0.061,0.065,0.059,0.065,0.068
0.1,svm-custom-sum,0.4,43.2,0.551,0.531,0.495,0.497,0.484,0.474,0.458,0.433,0.43,0.42,0.058,0.064,0.066,0.054,0.057,0.068,0.067,0.064,0.075,0.069
0.12,svm-custom-sum,0.4,51.0,0.57,0.551,0.533,0.515,0.504,0.494,0.473,0.459,0.457,0.433,0.059,0.056,0.063,0.052,0.065,0.072,0.07,0.076,0.07,0.067
0.1,custom-custom-sum,0.4,41.0,0.601,0.6,0.595,0.572,0.551,0.557,0.55,0.543,0.521,0.514,0.065,0.07,0.073,0.067,0.062,0.06,0.07,0.066,0.071,0.068
0.12,custom-custom-sum,0.4,49.0,0.635,0.609,0.618,0.596,0.57,0.569,0.565,0.548,0.539,0.525,0.069,0.062,0.063,0.06,0.058,0.062,0.063,0.06,0.067,0.068
0.1,svm-custom-sum,0.45,43.1,0.551,0.522,0.511,0.496,0.484,0.465,0.439,0.432,0.417,0.414,0.063,0.065,0.061,0.058,0.064,0.061,0.068,0.076,0.067,0.073
0.12,svm-custom-sum,0.45,50.1,0.58,0.568,0.533,0.531,0.506,0.498,0.471,0.469,0.451,0.446,0.048,0.057,0.053,0.054,0.062,0.056,0.067,0.058,0.064,0.06
0.1,custom-custom-sum,0.45,41.0,0.599,0.596,0.592,0.569,0.551,0.555,0.549,0.537,0.519,0.51,0.062,0.066,0.072,0.068,0.063,0.057,0.07,0.061,0.07,0.067
0.12,custom-custom-sum,0.45,49.0,0.635,0.608,0.617,0.595,0.571,0.569,0.567,0.55,0.54,0.529,0.067,0.064,0.064,0.059,0.06,0.061,0.065,0.057,0.065,0.067
0.1,svm-custom-sum,0.5,42.3,0.552,0.536,0.525,0.513,0.492,0.474,0.458,0.453,0.433,0.425,0.061,0.067,0.061,0.061,0.073,0.075,0.082,0.073,0.071,0.089
0.12,svm-custom-sum,0.5,50.2,0.58,0.564,0.537,0.528,0.515,0.503,0.481,0.472,0.451,0.453,0.059,0.048,0.062,0.053,0.066,0.064,0.071,0.065,0.067,0.069
0.1,custom-custom-sum,0.5,41.0,0.602,0.598,0.589,0.572,0.551,0.555,0.546,0.537,0.517,0.509,0.058,0.068,0.072,0.067,0.06,0.056,0.065,0.06,0.069,0.069
0.12,custom-custom-sum,0.5,49.0,0.633,0.607,0.616,0.592,0.573,0.571,0.565,0.55,0.538,0.53,0.067,0.062,0.065,0.064,0.059,0.061,0.061,0.056,0.062,0.068
0.1,svm-custom-sum,0.55,42.5,0.567,0.55,0.526,0.514,0.499,0.487,0.473,0.438,0.432,0.427,0.068,0.056,0.07,0.063,0.051,0.073,0.072,0.075,0.081,0.06
0.12,svm-custom-sum,0.55,50.2,0.596,0.572,0.547,0.524,0.514,0.513,0.491,0.477,0.462,0.456,0.06,0.052,0.055,0.055,0.067,0.059,0.068,0.068,0.076,0.067
0.1,custom-custom-sum,0.55,41.0,0.599,0.596,0.588,0.571,0.55,0.554,0.544,0.533,0.512,0.507,0.057,0.068,0.073,0.066,0.064,0.055,0.069,0.062,0.07,0.07
0.12,custom-custom-sum,0.55,49.0,0.631,0.604,0.612,0.59,0.573,0.568,0.564,0.547,0.539,0.527,0.067,0.064,0.064,0.063,0.06,0.059,0.067,0.055,0.061,0.068
0.1,svm-custom-sum,0.6,42.1,0.578,0.554,0.539,0.515,0.503,0.487,0.475,0.459,0.451,0.442,0.062,0.063,0.064,0.067,0.059,0.062,0.082,0.079,0.079,0.073
0.12,svm-custom-sum,0.6,50.3,0.594,0.578,0.552,0.54,0.516,0.514,0.49,0.471,0.467,0.454,0.06,0.061,0.061,0.058,0.066,0.063,0.069,0.064,0.068,0.061
0.1,custom-custom-sum,0.6,41.0,0.6,0.591,0.583,0.568,0.545,0.549,0.541,0.533,0.511,0.505,0.062,0.074,0.077,0.067,0.064,0.057,0.07,0.063,0.074,0.07
0.12,custom-custom-sum,0.6,49.0,0.627,0.602,0.609,0.584,0.573,0.57,0.564,0.55,0.539,0.53,0.066,0.064,0.067,0.066,0.062,0.064,0.063,0.051,0.061,0.065
0.1,svm-custom-sum,0.65,42.4,0.562,0.55,0.527,0.506,0.492,0.488,0.466,0.446,0.433,0.424,0.076,0.063,0.062,0.066,0.069,0.068,0.084,0.082,0.085,0.08
